,pokedex_number,generation,name,description,sound_name,image_name
218,219,2,Magcargo,Magcargo’s shell is actually its skin that hardened as a result of cooling. Its shell is very brittle and fragile—just touching it causes it to crumble apart. This Pokémon returns to its original size by dipping itself in magma.,magcargo,magcargo
219,220,2,Swinub,It rubs its snout on the ground to find and dig up food. It sometimes discovers hot springs.,swinub,swinub
220,221,2,Piloswine,"If it charges at an enemy, the hairs on its back stand up straight. It is very sensitive to sound.",piloswine,piloswine
221,222,2,Corsola,It will regrow any branches that break off its head. People keep particularly beautiful Corsola branches as charms to promote safe childbirth.,corsola,corsola
222,223,2,Remoraid,The water they shoot from their mouths can hit moving prey from more than 300 feet away.,remoraid,remoraid
223,224,2,Octillery,It has a tendency to want to be in holes. It prefers rock crags or pots and sprays ink from them before attacking.,octillery,octillery
224,225,2,Delibird,It carries food all day long. There are tales about lost people who were saved by the food it had.,delibird,delibird
225,226,2,Mantine,"If it builds up enough speed swimming, it can jump out above the waves and glide for over 300 feet.",mantine,mantine
226,227,2,Skarmory,The pointed feathers of these Pokémon are sharper than swords. Skarmory and Corviknight fight viciously over territory.,skarmory,skarmory
227,228,2,Houndour,"It cooperates with others skillfully. When it becomes your partner, it’s very loyal to you as its Trainer and will obey your orders.",houndour,houndour
228,229,2,Houndoom,They spew flames mixed with poison to finish off their opponents. They divvy up their prey evenly among the members of their pack.,houndoom,houndoom
229,230,2,Kingdra,"With the arrival of a storm at sea, this Pokémon will show itself on the surface. When a Kingdra and a Dragonite meet, a fierce battle ensues.",kingdra,kingdra
230,231,2,Phanpy,"For its nest, Phanpy digs a vertical pit in the ground at the edge of a river. It marks the area around its nest with its trunk to let the others know that the area has been claimed.",phanpy,phanpy
231,232,2,Donphan,"Donphan’s favorite attack is curling its body into a ball, then charging at its foe while rolling at high speed. Once it starts rolling, this Pokémon can’t stop very easily.",donphan,donphan
232,233,2,Porygon2,This is a Porygon that was updated with special data. Porygon2 develops itself by learning about many different subjects all on its own.,porygon2,porygon2
233,234,2,Stantler,"Stantler’s magnificent antlers were traded at high prices as works of art. As a result, this Pokémon was hunted close to extinction by those who were after the priceless antlers.",stantler,stantler
234,235,2,Smeargle,The fluid of Smeargle’s tail secretions changes in the intensity of its hue as the Pokémon’s emotions change.,smeargle,smeargle
235,236,2,Tyrogue,"It is always bursting with energy. To make itself stronger, it keeps on fighting even if it loses.",tyrogue,tyrogue
236,237,2,Hitmontop,"It launches kicks while spinning. If it spins at high speed, it may bore its way into the ground.",hitmontop,hitmontop
237,238,2,Smoochum,"If its face gets even slightly dirty, Smoochum will bathe immediately. But if its body gets dirty, Smoochum doesn’t really seem to care.",smoochum,smoochum
238,239,2,Elekid,"When a storm approaches, this Pokémon gets restless. Once Elekid hears the sound of thunder, it gets full-on rowdy.",elekid,elekid
239,240,2,Magby,"This Pokémon is still small and timid. Whenever Magby gets excited or surprised, flames leak from its mouth and its nose.",magby,magby
240,241,2,Miltank,"Miltank produces highly nutritious milk, so it’s been supporting the lives of people and other Pokémon since ancient times.",miltank,miltank
241,242,2,Blissey,"Whenever a Blissey finds a weakened Pokémon, it will share its egg and offer its care until the other Pokémon is all better.",blissey,blissey
242,243,2,Raikou,Raikou embodies the speed of lightning. The roars of this Pokémon send shock waves shuddering through the air and shake the ground as if lightning bolts had come crashing down.,raikou,raikou
243,244,2,Entei,Entei embodies the passion of magma. This Pokémon is thought to have been born in the eruption of a volcano. It sends up massive bursts of fire that utterly consume all that they touch.,entei,entei
244,245,2,Suicune,Suicune embodies the compassion of a pure spring of water. It runs across the land with gracefulness. This Pokémon has the power to purify dirty water.,suicune,suicune
245,246,2,Larvitar,"Born deep underground, it comes aboveground and becomes a pupa once it has finished eating the surrounding soil.",larvitar,larvitar
246,247,2,Pupitar,"Even sealed in its shell, it can move freely. Hard and fast, it has outstanding destructive power.",pupitar,pupitar
247,248,2,Tyranitar,"Its body can’t be harmed by any sort of attack, so it is very eager to make challenges against enemies.",tyranitar,tyranitar
248,249,2,Lugia,"Lugia’s wings pack devastating power—a light fluttering of its wings can blow apart regular houses. As a result, this Pokémon chooses to live out of sight deep under the sea.",lugia,lugia
249,250,2,Ho-oh,Ho-Oh’s feathers glow in seven colors depending on the angle at which they are struck by light. These feathers are said to bring happiness to the bearers. This Pokémon is said to live at the foot of a rainbow.,hooh,ho-oh
250,251,2,Celebi,"This Pokémon came from the future by crossing over time. It is thought that so long as Celebi appears, a bright and shining future awaits us.",celebi,celebi
251,252,3,Treecko,Treecko has small hooks on the bottom of its feet that enable it to scale vertical walls. This Pokémon attacks by slamming foes with its thick tail.,treecko,treecko
252,253,3,Grovyle,The leaves growing out of Grovyle’s body are convenient for camouflaging it from enemies in the forest. This Pokémon is a master at climbing trees in jungles.,grovyle,grovyle
253,254,3,Sceptile,The leaves growing on Sceptile’s body are very sharp edged. This Pokémon is very agile—it leaps all over the branches of trees and jumps on its foe from above or behind.,sceptile,sceptile
254,255,3,Torchic,"Torchic sticks with its Trainer, following behind with unsteady steps. This Pokémon breathes fire of over 1,800 degrees Fahrenheit, including fireballs that leave the foe scorched black.",torchic,torchic
255,256,3,Combusken,"Combusken toughens up its legs and thighs by running through fields and mountains. This Pokémon’s legs possess both speed and power, enabling it to dole out 10 kicks in one second.",combusken,combusken
256,257,3,Blaziken,"In battle, Blaziken blows out intense flames from its wrists and attacks foes courageously. The stronger the foe, the more intensely this Pokémon’s wrists burn.",blaziken,blaziken
257,258,3,Mudkip,"The fin on Mudkip’s head acts as highly sensitive radar. Using this fin to sense movements of water and air, this Pokémon can determine what is taking place around it without using its eyes.",mudkip,mudkip
258,259,3,Marshtomp,"The surface of Marshtomp’s body is enveloped by a thin, sticky film that enables it to live on land. This Pokémon plays in mud on beaches when the ocean tide is low.",marshtomp,marshtomp
259,260,3,Swampert,Swampert is very strong. It has enough power to easily drag a boulder weighing more than a ton. This Pokémon also has powerful vision that lets it see even in murky water.,swampert,swampert
260,261,3,Poochyena,"At first sight, Poochyena takes a bite at anything that moves. This Pokémon chases after prey until the victim becomes exhausted. However, it may turn tail if the prey strikes back.",poochyena,poochyena
261,262,3,Mightyena,Mightyena gives obvious signals when it is preparing to attack. It starts to growl deeply and then flattens its body. This Pokémon will bite savagely with its sharply pointed fangs.,mightyena,mightyena
262,263,3,Zigzagoon,It marks its territory by rubbing its bristly fur on trees. This variety of Zigzagoon is friendlier and calmer than the kind native to Galar.,zigzagoon,zigzagoon
263,264,3,Linoone,Its fur is strong and supple. Shaving brushes made with shed Linoone hairs are highly prized.,linoone,linoone
264,265,3,Wurmple,"Using the spikes on its rear end, Wurmple peels the bark off trees and feeds on the sap that oozes out. This Pokémon’s feet are tipped with suction pads that allow it to cling to glass without slipping.",wurmple,wurmple
265,266,3,Silcoon,"Silcoon tethers itself to a tree branch using silk to keep from falling. There, this Pokémon hangs quietly while it awaits evolution. It peers out of the silk cocoon through a small hole.",silcoon,silcoon
266,267,3,Beautifly,"Beautifly’s favorite food is the sweet pollen of flowers. If you want to see this Pokémon, just leave a potted flower by an open window. Beautifly is sure to come looking for pollen.",beautifly,beautifly
267,268,3,Cascoon,"Cascoon makes its protective cocoon by wrapping its body entirely with a fine silk from its mouth. Once the silk goes around its body, it hardens. This Pokémon prepares for its evolution inside the cocoon.",cascoon,cascoon
268,269,3,Dustox,"Dustox is instinctively drawn to light. Swarms of this Pokémon are attracted by the bright lights of cities, where they wreak havoc by stripping the leaves off roadside trees for food.",dustox,dustox
269,270,3,Lotad,"It searches about for clean water. If it does not drink water for too long, the leaf on its head wilts.",lotad,lotad
270,271,3,Lombre,It is nocturnal and becomes active at nightfall. It feeds on aquatic mosses that grow in the riverbed.,lombre,lombre
271,272,3,Ludicolo,"The rhythm of bright, festive music activates Ludicolo’s cells, making it more powerful.",ludicolo,ludicolo
272,273,3,Seedot,"If it remains still, it looks just like a real nut. It delights in surprising foraging Pokémon.",seedot,seedot
273,274,3,Nuzleaf,"It lives deep in forests. With the leaf on its head, it makes a flute whose song makes listeners uneasy.",nuzleaf,nuzleaf
274,275,3,Shiftry,A Pokémon that was feared as a forest guardian. It can read the foe’s mind and take preemptive action.,shiftry,shiftry
275,276,3,Taillow,"Taillow courageously stands its ground against foes, however strong they may be. This gutsy Pokémon will remain defiant even after a loss. On the other hand, it cries loudly if it becomes hungry.",taillow,taillow
276,277,3,Swellow,"Swellow flies high above our heads, making graceful arcs in the sky. This Pokémon dives at a steep angle as soon as it spots its prey. The hapless prey is tightly grasped by Swellow’s clawed feet, preventing escape.",swellow,swellow
277,278,3,Wingull,"It makes its nest on sheer cliffs. Riding the sea breeze, it glides up into the expansive skies.",wingull,wingull
278,279,3,Pelipper,"It is a messenger of the skies, carrying small Pokémon and eggs to safety in its bill.",pelipper,pelipper
279,280,3,Ralts,It is highly attuned to the emotions of people and Pokémon. It hides if it senses hostility.,ralts,ralts
280,281,3,Kirlia,"If its Trainer becomes happy, it overflows with energy, dancing joyously while spinning about.",kirlia,kirlia
281,282,3,Gardevoir,It has the power to predict the future. Its power peaks when it is protecting its Trainer.,gardevoir,gardevoir
282,283,3,Surskit,"If it’s in a pinch, it will secrete a sweet liquid from the tip of its head. Syrup made from gathering that liquid is tasty on bread.",surskit,surskit
283,284,3,Masquerain,"Masquerain intimidates enemies with the eyelike patterns of its eyespots. If that doesn’t work, it deftly makes its escape on its set of four wings.",masquerain,masquerain
284,285,3,Shroomish,"Shroomish live in damp soil in the dark depths of forests. They are often found keeping still under fallen leaves. This Pokémon feeds on compost that is made up of fallen, rotted leaves.",shroomish,shroomish
285,286,3,Breloom,"Breloom closes in on its foe with light and sprightly footwork, then throws punches with its stretchy arms. This Pokémon’s fighting technique puts boxers to shame.",breloom,breloom
286,287,3,Slakoth,"Slakoth lolls around for over 20 hours every day. Because it moves so little, it does not need much food. This Pokémon’s sole daily meal consists of just three leaves.",slakoth,slakoth
287,288,3,Vigoroth,Vigoroth is always itching and agitated to go on a wild rampage. It simply can’t tolerate sitting still for even a minute. This Pokémon’s stress level rises if it can’t be moving constantly.,vigoroth,vigoroth
288,289,3,Slaking,"Slaking spends all day lying down and lolling about. It eats grass growing within its reach. If it eats all the grass it can reach, this Pokémon reluctantly moves to another spot.",slaking,slaking
289,290,3,Nincada,"Because it lived almost entirely underground, it is nearly blind. It uses its antennae instead.",nincada,nincada
290,291,3,Ninjask,Its cry leaves a lasting headache if heard for too long. It moves so quickly that it is almost invisible.,ninjask,ninjask
291,292,3,Shedinja,A most peculiar Pokémon that somehow appears in a Poké Ball when a Nincada evolves.,shedinja,shedinja
292,293,3,Whismur,"The cry of a Whismur is over 100 decibels. If you’re close to a Whismur when it lets out a cry, you’ll be stuck with an all-day headache.",whismur,whismur
293,294,3,Loudred,"Loudred’s ears serve as speakers, and they can put out sound waves powerful enough to blow away a house.",loudred,loudred
294,295,3,Exploud,"In the past, people would use the loud voices of these Pokémon as a means of communication between distant cities.",exploud,exploud
295,296,3,Makuhita,It practices its slaps by repeatedly slapping tree trunks. It has been known to slap an Exeggutor and get flung away.,makuhita,makuhita
296,297,3,Hariyama,"Although they enjoy comparing their strength, they’re also kind. They value etiquette, praising opponents they battle.",hariyama,hariyama
297,298,3,Azurill,"The ball on Azurill’s tail bounces like a rubber ball, and it’s full of the nutrients the Pokémon needs to grow.",azurill,azurill
298,299,3,Nosepass,"It moves less than an inch a year, but when it’s in a jam, it will spin and drill down into the ground in a split second.",nosepass,nosepass
299,300,3,Skitty,Skitty has the habit of becoming fascinated by moving objects and chasing them around. This Pokémon is known to chase after its own tail and become dizzy.,skitty,skitty
300,301,3,Delcatty,"Delcatty prefers to live an unfettered existence in which it can do as it pleases at its own pace. Because this Pokémon eats and sleeps whenever it decides, its daily routines are completely random.",delcatty,delcatty
301,302,3,Sableye,"This Pokémon is feared. When its gemstone eyes begin to glow with a sinister shine, it’s believed that Sableye will steal people’s spirits away.",sableye,sableye
302,303,3,Mawile,"It uses its docile-looking face to lull foes into complacency, then bites with its huge, relentless jaws.",mawile,mawile
303,304,3,Aron,It eats iron ore—and sometimes railroad tracks— to build up the steel armor that protects its body.,aron,aron
304,305,3,Lairon,"Lairon live in mountains brimming with spring water and iron ore, so these Pokémon often came into conflict with humans in the past.",lairon,lairon
305,306,3,Aggron,Aggron has a horn sharp enough to perforate thick iron sheets. It brings down its opponents by ramming into them horn first.,aggron,aggron
306,307,3,Meditite,"Meditite undertakes rigorous mental training deep in the mountains. However, whenever it meditates, this Pokémon always loses its concentration and focus. As a result, its training never ends.",meditite,meditite
307,308,3,Medicham,"It is said that through meditation, Medicham heightens energy inside its body and sharpens its sixth sense. This Pokémon hides its presence by merging itself with fields and mountains.",medicham,medicham
308,309,3,Electrike,It stores static electricity in its fur for discharging. It gives off sparks if a storm approaches.,electrike,electrike
309,310,3,Manectric,"It stimulates its own muscles with electricity, so it can move quickly. It eases its soreness with electricity, too, so it can recover quickly as well.",manectric,manectric
310,311,3,Plusle,"Plusle always acts as a cheerleader for its partners. Whenever a teammate puts out a good effort in battle, this Pokémon shorts out its body to create the crackling noises of sparks to show its joy.",plusle,plusle
311,312,3,Minun,Minun is more concerned about cheering on its partners than its own safety. It shorts out the electricity in its body to create brilliant showers of sparks to cheer on its teammates.,minun,minun
312,313,3,Volbeat,"With the arrival of night, Volbeat emits light from its tail. It communicates with others by adjusting the intensity and flashing of its light. This Pokémon is attracted by the sweet aroma of Illumise.",volbeat,volbeat
313,314,3,Illumise,"Illumise attracts a swarm of Volbeat using a sweet fragrance. Once the Volbeat have gathered, this Pokémon leads the lit-up swarm in drawing geometric designs on the canvas of the night sky.",illumise,illumise
314,315,3,Roselia,"Its flowers give off a relaxing fragrance. The stronger its aroma, the healthier the Roselia is.",roselia,roselia
315,316,3,Gulpin,"Virtually all of Gulpin’s body is its stomach. As a result, it can swallow something its own size. This Pokémon’s stomach contains a special fluid that digests anything.",gulpin,gulpin
316,317,3,Swalot,"When Swalot spots prey, it spurts out a hideously toxic fluid from its pores and sprays the target. Once the prey has weakened, this Pokémon gulps it down whole with its cavernous mouth.",swalot,swalot
317,318,3,Carvanha,"It won’t attack while it’s alone—not even if it spots prey. Instead, it waits for other Carvanha to join it, and then the Pokémon attack as a group.",carvanha,carvanha
318,319,3,Sharpedo,"As soon as it catches the scent of prey, Sharpedo will jet seawater from its backside, hurtling toward the target to attack at 75 mph.",sharpedo,sharpedo
319,320,3,Wailmer,It shows off by spraying jets of seawater from the nostrils above its eyes. It eats a solid ton of Wishiwashi every day.,wailmer,wailmer
320,321,3,Wailord,It can sometimes knock out opponents with the shock created by breaching and crashing its big body onto the water.,wailord,wailord
321,322,3,Numel,"Numel is extremely dull witted—it doesn’t notice being hit. However, it can’t stand hunger for even a second. This Pokémon’s body is a seething cauldron of boiling magma.",numel,numel
322,323,3,Camerupt,"Camerupt has a volcano inside its body. Magma of 18,000 degrees Fahrenheit courses through its body. Occasionally, the humps on this Pokémon’s back erupt, spewing the superheated magma.",camerupt,camerupt
323,324,3,Torkoal,It burns coal inside its shell for energy. It blows out black soot if it is endangered.,torkoal,torkoal
324,325,3,Spoink,"Spoink bounces around on its tail. The shock of its bouncing makes its heart pump. As a result, this Pokémon cannot afford to stop bouncing—if it stops, its heart will stop.",spoink,spoink
325,326,3,Grumpig,"Grumpig uses the black pearls on its body to amplify its psychic power waves for gaining total control over its foe. When this Pokémon uses its special power, its snorting breath grows labored.",grumpig,grumpig
326,327,3,Spinda,Its steps are shaky and stumbling. Walking for a long time makes it feel sick.,spinda,spinda
327,328,3,Trapinch,"Its nest is a sloped, bowl-like pit in the desert. Once something has fallen in, there is no escape.",trapinch,trapinch
328,329,3,Vibrava,The ultrasonic waves it generates by rubbing its two wings together cause severe headaches.,vibrava,vibrava
329,330,3,Flygon,This Pokémon hides in the heart of sandstorms it creates and seldom appears where people can see it.,flygon,flygon
330,331,3,Cacnea,"Cacnea lives in arid locations such as deserts. It releases a strong aroma from its flower to attract prey. When prey comes near, this Pokémon shoots sharp thorns from its body to bring the victim down.",cacnea,cacnea
331,332,3,Cacturne,"During the daytime, Cacturne remains unmoving so that it does not lose any moisture to the harsh desert sun. This Pokémon becomes active at night when the temperature drops.",cacturne,cacturne
332,333,3,Swablu,"Its cottony wings are full of air, making them light and fluffy to the touch. Swablu takes diligent care of its wings.",swablu,swablu
333,334,3,Altaria,"As it flies in a calm and relaxed manner, Altaria performs a humming song that would enrapture any audience.",altaria,altaria
334,335,3,Zangoose,Memories of battling its archrival Seviper are etched into every cell of Zangoose’s body. This Pokémon adroitly dodges attacks with incredible agility.,zangoose,zangoose
335,336,3,Seviper,Seviper shares a generations-long feud with Zangoose. The scars on its body are evidence of vicious battles. This Pokémon attacks using its sword-edged tail.,seviper,seviper
336,337,3,Lunatone,The phase of the moon apparently has some effect on its power. It’s active on the night of a full moon.,lunatone,lunatone
337,338,3,Solrock,"When it rotates itself, it gives off light similar to the sun, thus blinding its foes.",solrock,solrock
338,339,3,Barboach,"Its slimy body is hard to grasp. In one region, it is said to have been born from hardened mud.",barboach,barboach
339,340,3,Whiscash,"It makes its nest at the bottom of swamps. It will eat anything—if it is alive, Whiscash will eat it.",whiscash,whiscash
340,341,3,Corphish,"No matter how dirty the water in the river, it will adapt and thrive. It has a strong will to survive.",corphish,corphish
341,342,3,Crawdaunt,A rough customer that wildly flails its giant claws. It is said to be extremely hard to raise.,crawdaunt,crawdaunt
342,343,3,Baltoy,It moves while spinning around on its single foot. Some Baltoy have been seen spinning on their heads.,baltoy,baltoy
343,344,3,Claydol,"This mysterious Pokémon started life as an ancient clay figurine made over 20,000 years ago.",claydol,claydol
344,345,3,Lileep,"This Pokémon was restored from a fossil. Lileep once lived in warm seas that existed approximately 100,000,000 years ago.",lileep,lileep
345,346,3,Cradily,"It has short legs and can’t walk very fast, but its neck and tentacles can extend to over three times their usual length to nab distant prey.",cradily,cradily
346,347,3,Anorith,"This Pokémon was restored from a fossil. Anorith lived in the ocean about 100,000,000 years ago, hunting with its pair of claws.",anorith,anorith
347,348,3,Armaldo,"After evolution, this Pokémon emerged onto land. Its lower body has become stronger, and blows from its tail are devastating.",armaldo,armaldo
348,349,3,Feebas,"Although unattractive and unpopular, this Pokémon’s marvelous vitality has made it a subject of research.",feebas,feebas
349,350,3,Milotic,Milotic has provided inspiration to many artists. It has even been referred to as the most beautiful Pokémon of all.,milotic,milotic
350,351,3,Castform,"Although its form changes with the weather, that is apparently the result of a chemical reaction and not the result of its own free will.",castform,castform
351,352,3,Kecleon,"It changes its hue to blend into its surroundings. If no one takes notice of it for too long, it will pout and never reveal itself.",kecleon,kecleon
352,353,3,Shuppet,"It eats up emotions like malice, jealousy, and resentment, so some people are grateful for its presence.",shuppet,shuppet
353,354,3,Banette,"It’s a stuffed toy that was thrown away and became possessed, ever searching for the one who threw it away so it can exact its revenge.",banette,banette
354,355,3,Duskull,"If it finds bad children who won’t listen to their parents, it will spirit them away—or so it’s said.",duskull,duskull
355,356,3,Dusclops,"Its body is entirely hollow. When it opens its mouth, it sucks everything in as if it were a black hole.",dusclops,dusclops
356,357,3,Tropius,The bunches of fruit growing around the necks of Tropius in Alola are especially sweet compared to those in other regions.,tropius,tropius
357,358,3,Chimecho,"Chimecho makes its cries echo inside its hollow body. When this Pokémon becomes enraged, its cries result in ultrasonic waves that have the power to knock foes flying.",chimecho,chimecho
358,359,3,Absol,"Swift as the wind, Absol races through fields and mountains. Its curved, bow-like horn is acutely sensitive to the warning signs of natural disasters.",absol,absol
359,360,3,Wynaut,It tends to move in a pack. Individuals squash against one another to toughen their spirits.,wynaut,wynaut
360,361,3,Snorunt,"It’s said that if they are seen at midnight, they’ll cause heavy snow. They eat snow and ice to survive.",snorunt,snorunt
361,362,3,Glalie,"It has a body of ice that won’t melt, even with fire. It can instantly freeze moisture in the atmosphere.",glalie,glalie
362,363,3,Spheal,This Pokémon’s body is covered in blubber and impressively round. It’s faster for Spheal to roll around than walk.,spheal,spheal
363,364,3,Sealeo,"Sealeo live on top of drift ice. They go swimming when they’re on the hunt, seeking out their prey by scent.",sealeo,sealeo
364,365,3,Walrein,"Walrein form herds of 20 to 30 individuals. When a threat appears, the herd’s leader will protect the group with its life.",walrein,walrein
365,366,3,Clamperl,"Despite its appearance, it’s carnivorous. It clamps down on its prey with both sides of its shell and doesn’t let go until they stop moving.",clamperl,clamperl
366,367,3,Huntail,It’s not the strongest swimmer. It wags its tail to lure in its prey and then gulps them down as soon as they get close.,huntail,huntail
367,368,3,Gorebyss,The color of its body changes with the water temperature. The coloration of Gorebyss in Alola is almost blindingly vivid.,gorebyss,gorebyss
368,369,3,Relicanth,Rock-hard scales and oil-filled swim bladders allow this Pokémon to survive the intense water pressure of the deep sea.,relicanth,relicanth
369,370,3,Luvdisc,There was an era when it was overfished due to the rumor that having one of its heart-shaped scales would enable you to find a sweetheart.,luvdisc,luvdisc
370,371,3,Bagon,"Bagon jumps off cliffs every day, trying to grow stronger so that someday it will be able to fly.",bagon,bagon
371,372,3,Shelgon,This Pokémon has covered its body in a hard shell that has the same composition as bone. Shelgon stores energy for evolution.,shelgon,shelgon
372,373,3,Salamence,Salamence is an unusual Pokémon in that it was able to evolve a body with wings just by constantly wishing to be able to fly.,salamence,salamence
373,374,3,Beldum,"From its rear, Beldum emits a magnetic force that rapidly pulls opponents in. They get skewered on Beldum’s sharp claws.",beldum,beldum
374,375,3,Metang,"Two Beldum have become stuck together via their own magnetic forces. With two brains, the resulting Metang has doubled psychic powers.",metang,metang
375,376,3,Metagross,"Because the magnetic powers of these Pokémon get stronger in freezing temperatures, Metagross living on snowy mountains are full of energy.",metagross,metagross
376,377,3,Regirock,"Every bit of Regirock’s body is made of stone. As parts of its body erode, this Pokémon sticks rocks to itself to repair what’s been lost.",regirock,regirock
377,378,3,Regice,"With cold air that can reach temperatures as low as −328 degrees Fahrenheit, Regice instantly freezes any creature that approaches it.",regice,regice
378,379,3,Registeel,Registeel’s body is made of a strange material that is flexible enough to stretch and shrink but also more durable than any metal.,registeel,registeel
379,380,3,Latias,"Latias is highly sensitive to the emotions of people. If it senses any hostility, this Pokémon ruffles the feathers all over its body and cries shrilly to intimidate the foe.",latias,latias
380,381,3,Latios,Latios has the ability to make others see an image of what it has seen or imagines in its head. This Pokémon is intelligent and understands human speech.,latios,latios
381,382,3,Kyogre,"Through Primal Reversion and with nature’s full power, it will take back its true form. It can summon storms that cause the sea levels to rise.",kyogre,kyogre
382,383,3,Groudon,"Groudon is said to be the personification of the land itself. Legends tell of its many clashes against Kyogre, as each sought to gain the power of nature.",groudon,groudon
383,384,3,Rayquaza,Rayquaza is said to have lived for hundreds of millions of years. Legends remain of how it put to rest the clash between Kyogre and Groudon.,rayquaza,rayquaza
384,385,3,Jirachi,"A legend states that Jirachi will make true any wish that is written on notes attached to its head when it awakens. If this Pokémon senses danger, it will fight without awakening.",jirachi,jirachi
385,386,3,Deoxys,The DNA of a space virus underwent a sudden mutation upon exposure to a laser beam and resulted in Deoxys. The crystalline organ on this Pokémon’s chest appears to be its brain.,deoxys,deoxys
386,387,4,Turtwig,Photosynthesis occurs across its body under the sun. The shell on its back is actually hardened soil.,turtwig,turtwig
387,388,4,Grotle,"It lives along water in forests. In the daytime, it leaves the forest to sunbathe its treed shell.",grotle,grotle
388,389,4,Torterra,"Ancient people imagined that beneath the ground, a gigantic Torterra dwelled.",torterra,torterra
389,390,4,Chimchar,Its fiery rear end is fueled by gas made in its belly. Even rain can’t extinguish the fire.,chimchar,chimchar
390,391,4,Monferno,It skillfully controls the intensity of the fire on its tail to keep its foes at an ideal distance.,monferno,monferno
391,392,4,Infernape,Its crown of fire is indicative of its fiery nature. It is beaten by none in terms of quickness.,infernape,infernape
392,393,4,Piplup,It doesn’t like to be taken care of. It’s difficult to bond with since it won’t listen to its Trainer.,piplup,piplup
393,394,4,Prinplup,"It lives alone, away from others. Apparently, every one of them believes it is the most important.",prinplup,prinplup
394,395,4,Empoleon,It swims as fast as a jet boat. The edges of its wings are sharp and can slice apart drifting ice.,empoleon,empoleon
395,396,4,Starly,"They flock in great numbers. Though small, they flap their wings with great power.",starly,starly
396,397,4,Staravia,"They maintain huge flocks, although fierce scuffles break out between various flocks.",staravia,staravia
397,398,4,Staraptor,The muscles in its wings and legs are strong. It can easily fly while gripping a small Pokémon.,staraptor,staraptor
398,399,4,Bidoof,"With nerves of steel, nothing can perturb it. It is more agile and active than it appears.",bidoof,bidoof
399,400,4,Bibarel,It busily makes its nest with stacks of branches and roots it has cut up with its sharp incisors.,bibarel,bibarel
400,401,4,Kricketot,It chats with others using the sounds of its colliding antennae. These sounds are fall hallmarks.,kricketot,kricketot
401,402,4,Kricketune,It crosses its knifelike arms in front of its chest when it cries. It can compose melodies ad lib.,kricketune,kricketune
402,403,4,Shinx,This Pokémon generates electricity by contracting its muscles. Excited trembling is a sign that Shinx is generating a tremendous amount of electricity.,shinx,shinx
403,404,4,Luxio,"By joining its tail with that of another Luxio, this Pokémon can receive some of the other Luxio’s electricity and power up its own electric blasts.",luxio,luxio
404,405,4,Luxray,"Luxray can see through solid objects. It will instantly spot prey trying to hide behind walls, even if the walls are thick.",luxray,luxray
405,406,4,Budew,"The pollen it releases contains poison. If this Pokémon is raised on clean water, the poison’s toxicity is increased.",budew,budew
406,407,4,Roserade,"After captivating opponents with its sweet scent, it lashes them with its thorny whips.",roserade,roserade
407,408,4,Cranidos,"A primeval Pokémon, it possesses a hard and sturdy skull, lacking any intelligence within.",cranidos,cranidos
408,409,4,Rampardos,"In ancient times, people would dig up fossils of this Pokémon and use its skull, which is harder than steel, to make helmets.",rampardos,rampardos
409,410,4,Shieldon,"A mild-mannered, herbivorous Pokémon, it used its face to dig up tree roots to eat. The skin on its face was plenty tough.",shieldon,shieldon
410,411,4,Bastiodon,"The bones of its face are huge and hard, so they were mistaken for its spine until after this Pokémon was successfully restored.",bastiodon,bastiodon
411,412,4,Burmy,"To shelter itself from cold, wintry winds, it covers itself with a cloak made of twigs and leaves.",burmy,burmy
412,413,4,Wormadam,Its appearance changes depending on where it evolved. The materials on hand become a part of its body.,wormadam,wormadam
413,414,4,Mothim,It loves the honey of flowers and steals honey collected by Combee.,mothim,mothim
414,415,4,Combee,The members of the trio spend all their time together. Each one has a slightly different taste in nectar.,combee,combee
415,416,4,Vespiquen,It skillfully commands its grubs in battles with its enemies. The grubs are willing to risk their lives to defend Vespiquen.,vespiquen,vespiquen
416,417,4,Pachirisu,It makes fur balls that crackle with static electricity. It stores them with berries in tree holes.,pachirisu,pachirisu
417,418,4,Buizel,"It swims by rotating its two tails like a screw. When it dives, its flotation sac collapses.",buizel,buizel
418,419,4,Floatzel,It floats using its well-developed flotation sac. It assists in the rescues of drowning people.,floatzel,floatzel
419,420,4,Cherubi,"It nimbly dashes about to avoid getting pecked by bird Pokémon that would love to make off with its small, nutrient-rich storage ball.",cherubi,cherubi
420,421,4,Cherrim,"As a bud, it barely moves. It sits still, placidly waiting for sunlight to appear.",cherrim,cherrim
421,422,4,Shellos,"This Pokémon’s habitat shapes its physique. According to some theories, life in warm ocean waters causes this variation to develop.",shellos,shellos
422,423,4,Gastrodon,"Its search for food sometimes leads it onto land, where it leaves behind a sticky trail of slime as it passes through.",gastrodon,gastrodon
423,424,4,Ambipom,"In their search for comfortable trees, they get into territorial disputes with groups of Passimian. They win about half the time.",ambipom,ambipom
424,425,4,Drifloon,"Perhaps seeking company, it approaches children. However, it often quickly runs away again when the children play too roughly with it.",drifloon,drifloon
425,426,4,Drifblim,"Some say this Pokémon is a collection of souls burdened with regrets, silently drifting through the dusk.",drifblim,drifblim
426,427,4,Buneary,"If both of Buneary’s ears are rolled up, something is wrong with its body or mind. It’s a sure sign the Pokémon is in need of care.",buneary,buneary
