pokedex_number,name,generation,is_sub_legendary,is_legendary,is_mythical,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
88,Grimer,1,0,0,0,Sludge Pokémon,1,Poison,,0.9,30,3,Stench,Sticky Hold,Poison Touch,325,80,80,50,40,50,25,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
88,Alolan Grimer,1,0,0,0,Sludge Pokémon,2,Poison,Dark,0.7,42,3,Poison Touch,Gluttony,Power of Alchemy,325,80,80,50,40,50,25,1,1,1,1,0.5,1,1,0.5,2,1,0,1,1,0.5,1,0.5,1,1
89,Muk,1,0,0,0,Sludge Pokémon,1,Poison,,1.2,30,3,Stench,Sticky Hold,Poison Touch,500,105,105,75,65,100,50,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
89,Alolan Muk,1,0,0,0,Sludge Pokémon,2,Poison,Dark,1,52,3,Poison Touch,Gluttony,Power of Alchemy,500,105,105,75,65,100,50,1,1,1,1,0.5,1,1,0.5,2,1,0,1,1,0.5,1,0.5,1,1
90,Shellder,1,0,0,0,Bivalve Pokémon,1,Water,,0.3,4,3,Shell Armor,Skill Link,Overcoat,305,30,65,100,45,25,40,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
91,Cloyster,1,0,0,0,Bivalve Pokémon,2,Water,Ice,1.5,132.5,3,Shell Armor,Skill Link,Overcoat,525,50,95,180,85,45,70,1,1,0.5,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,1
92,Gastly,1,0,0,0,Gas Pokémon,2,Ghost,Poison,1.3,0.1,1,Levitate,,,310,30,35,30,100,35,80,0,1,1,1,0.5,1,0,0.25,0,1,2,0.25,1,2,1,2,1,0.5
93,Haunter,1,0,0,0,Gas Pokémon,2,Ghost,Poison,1.6,0.1,1,Levitate,,,405,45,50,45,115,55,95,0,1,1,1,0.5,1,0,0.25,0,1,2,0.25,1,2,1,2,1,0.5
94,Gengar,1,0,0,0,Shadow Pokémon,2,Ghost,Poison,1.5,40.5,1,Cursed Body,,,500,60,65,60,130,75,110,0,1,1,1,0.5,1,0,0.25,2,1,2,0.25,1,2,1,2,1,0.5
94,Mega Gengar,1,0,0,0,Shadow Pokémon,2,Ghost,Poison,1.4,40.5,1,Shadow Tag,,,600,60,65,80,170,95,130,0,1,1,1,0.5,1,0,0.25,2,1,2,0.25,1,2,1,2,1,0.5
95,Onix,1,0,0,0,Rock Snake Pokémon,2,Rock,Ground,8.8,210,3,Rock Head,Sturdy,Weak Armor,385,35,45,160,30,45,70,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
96,Drowzee,1,0,0,0,Hypnosis Pokémon,1,Psychic,,1,32.4,3,Insomnia,Forewarn,Inner Focus,328,60,48,45,43,90,42,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
97,Hypno,1,0,0,0,Hypnosis Pokémon,1,Psychic,,1.6,75.6,3,Insomnia,Forewarn,Inner Focus,483,85,73,70,73,115,67,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
98,Krabby,1,0,0,0,River Crab Pokémon,1,Water,,0.4,6.5,3,Hyper Cutter,Shell Armor,Sheer Force,325,30,105,90,25,25,50,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
99,Kingler,1,0,0,0,Pincer Pokémon,1,Water,,1.3,60,3,Hyper Cutter,Shell Armor,Sheer Force,475,55,130,115,50,50,75,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
100,Voltorb,1,0,0,0,Ball Pokémon,1,Electric,,0.5,10.4,3,Soundproof,Static,Aftermath,330,40,30,50,55,55,100,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
101,Electrode,1,0,0,0,Ball Pokémon,1,Electric,,1.2,66.6,3,Soundproof,Static,Aftermath,490,60,50,70,80,80,150,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
102,Exeggcute,1,0,0,0,Egg Pokémon,2,Grass,Psychic,0.4,2.5,2,Chlorophyll,,Harvest,325,60,40,80,60,45,40,1,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,1
103,Exeggutor,1,0,0,0,Coconut Pokémon,2,Grass,Psychic,2,120,2,Chlorophyll,,Harvest,530,95,95,85,125,75,55,1,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,1
103,Alolan Exeggutor,1,0,0,0,Coconut Pokémon,2,Grass,Dragon,10.9,415.6,2,Frisk,,Harvest,530,95,105,85,125,75,45,1,1,0.25,0.25,0.25,4,1,2,0.5,2,1,2,1,1,2,1,1,2
104,Cubone,1,0,0,0,Lonely Pokémon,1,Ground,,0.4,6.5,3,Rock Head,Lightning Rod,Battle Armor,320,50,50,95,40,50,35,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
105,Marowak,1,0,0,0,Bone Keeper Pokémon,1,Ground,,1,45,3,Rock Head,Lightning Rod,Battle Armor,425,60,80,110,50,80,45,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
105,Alolan Marowak,1,0,0,0,Bone Keeper Pokémon,2,Fire,Ghost,1,34,3,Cursed Body,Lightning Rod,Rock Head,425,60,80,110,50,80,45,0,0.5,2,1,0.5,0.5,0,0.5,2,1,1,0.25,2,2,1,2,0.5,0.5
106,Hitmonlee,1,0,0,0,Kicking Pokémon,1,Fighting,,1.5,49.8,3,Limber,Reckless,Unburden,455,50,120,53,35,110,87,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
107,Hitmonchan,1,0,0,0,Punching Pokémon,1,Fighting,,1.4,50.2,3,Keen Eye,Iron Fist,Inner Focus,455,50,105,79,35,110,76,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
108,Lickitung,1,0,0,0,Licking Pokémon,1,Normal,,1.2,65.5,3,Own Tempo,Oblivious,Cloud Nine,385,90,55,75,60,75,30,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
109,Koffing,1,0,0,0,Poison Gas Pokémon,1,Poison,,0.6,1,3,Levitate,Neutralizing Gas,Stench,340,40,65,95,60,45,35,1,1,1,1,0.5,1,0.5,0.5,0,1,2,0.5,1,1,1,1,1,0.5
110,Weezing,1,0,0,0,Poison Gas Pokémon,1,Poison,,1.2,9.5,3,Levitate,Neutralizing Gas,Stench,490,65,90,120,85,70,60,1,1,1,1,0.5,1,0.5,0.5,0,1,2,0.5,1,1,1,1,1,0.5
110,Galarian Weezing,1,0,0,0,Poison Gas Pokémon,2,Poison,Fairy,3,16,3,Levitate,Neutralizing Gas,Misty Surge,490,65,90,120,85,70,60,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
111,Rhyhorn,1,0,0,0,Spikes Pokémon,2,Ground,Rock,1,115,3,Lightning Rod,Rock Head,Reckless,345,80,85,95,30,30,25,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
112,Rhydon,1,0,0,0,Drill Pokémon,2,Ground,Rock,1.9,120,3,Lightning Rod,Rock Head,Reckless,485,105,130,120,45,45,40,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
113,Chansey,1,0,0,0,Egg Pokémon,1,Normal,,1.1,34.6,3,Natural Cure,Serene Grace,Healer,450,250,5,5,35,105,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
114,Tangela,1,0,0,0,Vine Pokémon,1,Grass,,1,35,3,Chlorophyll,Leaf Guard,Regenerator,435,65,55,115,100,40,60,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
115,Kangaskhan,1,0,0,0,Parent Pokémon,1,Normal,,2.2,80,3,Early Bird,Scrappy,Inner Focus,490,105,95,80,40,80,90,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
115,Mega Kangaskhan,1,0,0,0,Parent Pokémon,1,Normal,,2.2,100,1,Parental Bond,,,590,105,125,100,60,100,100,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
116,Horsea,1,0,0,0,Dragon Pokémon,1,Water,,0.4,8,3,Swift Swim,Sniper,Damp,295,30,40,70,70,25,60,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
117,Seadra,1,0,0,0,Dragon Pokémon,1,Water,,1.2,25,3,Poison Point,Sniper,Damp,440,55,65,95,95,45,85,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
118,Goldeen,1,0,0,0,Goldfish Pokémon,1,Water,,0.6,15,3,Swift Swim,Water Veil,Lightning Rod,320,45,67,60,35,50,63,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
119,Seaking,1,0,0,0,Goldfish Pokémon,1,Water,,1.3,39,3,Swift Swim,Water Veil,Lightning Rod,450,80,92,65,65,80,68,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
120,Staryu,1,0,0,0,Star Shape Pokémon,1,Water,,0.8,34.5,3,Illuminate,Natural Cure,Analytic,340,30,45,55,70,55,85,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
121,Starmie,1,0,0,0,Mysterious Pokémon,2,Water,Psychic,1.1,80,3,Illuminate,Natural Cure,Analytic,520,60,75,85,100,85,115,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1
122,Mr. Mime,1,0,0,0,Barrier Pokémon,2,Psychic,Fairy,1.3,54.5,3,Soundproof,Filter,Technician,460,40,45,65,100,120,90,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1
122,Galarian Mr. Mime,1,0,0,0,Dancing Pokémon,2,Psychic,Ice,1.4,56.8,3,Vital Spirit,Screen Cleaner,Ice Body,460,50,65,65,90,90,100,1,1,1,1,1,1,0.25,1.5,1,1,0.5,1,1,1.5,0,1,1.5,1
123,Scyther,1,0,0,0,Mantis Pokémon,2,Bug,Flying,1.5,56,3,Swarm,Technician,Steadfast,500,70,110,80,55,80,105,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
124,Jynx,1,0,0,0,Human Shape Pokémon,2,Ice,Psychic,1.4,40.6,3,Oblivious,Forewarn,Dry Skin,455,65,50,35,115,95,95,1,2,1,1,1,0.5,1,1,1,1,0.5,2,2,2,1,2,2,1
125,Electabuzz,1,0,0,0,Electric Pokémon,1,Electric,,1.1,30,2,Static,,Vital Spirit,490,65,83,57,95,85,105,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
126,Magmar,1,0,0,0,Spitfire Pokémon,1,Fire,,1.3,44.5,2,Flame Body,,Vital Spirit,495,65,95,57,100,85,93,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
127,Pinsir,1,0,0,0,Stag Beetle Pokémon,1,Bug,,1.5,55,3,Hyper Cutter,Mold Breaker,Moxie,500,65,125,100,55,70,85,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
127,Mega Pinsir,1,0,0,0,Stag Beetle Pokémon,2,Bug,Flying,1.7,59,1,Aerilate,,,600,65,155,120,65,90,105,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
128,Tauros,1,0,0,0,Wild Bull Pokémon,1,Normal,,1.4,88.4,3,Intimidate,Anger Point,Sheer Force,490,75,100,95,40,70,110,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
129,Magikarp,1,0,0,0,Fish Pokémon,1,Water,,0.9,10,2,Swift Swim,,Rattled,200,20,10,55,15,20,80,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
130,Gyarados,1,0,0,0,Atrocious Pokémon,2,Water,Flying,6.5,235,2,Intimidate,,Moxie,540,95,125,79,60,100,81,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1
130,Mega Gyarados,1,0,0,0,Atrocious Pokémon,2,Water,Dark,6.5,305,1,Mold Breaker,,,640,95,155,109,70,130,81,1,0.5,0.5,2,2,0.5,2,1,1,1,0,2,1,0.5,1,0.5,0.5,2
131,Lapras,1,0,0,0,Transport Pokémon,2,Water,Ice,2.5,220,3,Water Absorb,Shell Armor,Hydration,535,130,85,80,85,95,60,1,1,0,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,1
132,Ditto,1,0,0,0,Transform Pokémon,1,Normal,,0.3,4,2,Limber,,Imposter,288,48,48,48,48,48,48,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
133,Eevee,1,0,0,0,Evolution Pokémon,1,Normal,,0.3,6.5,3,Run Away,Adaptability,Anticipation,325,55,55,50,45,65,55,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
133,Partner Eevee,1,0,0,0,Evolution Pokémon,1,Normal,,0.3,6.5,1,,,Anticipation,435,65,75,70,65,85,75,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
134,Vaporeon,1,0,0,0,Bubble Jet Pokémon,1,Water,,1,29,2,Water Absorb,,Hydration,525,130,65,60,110,95,65,1,0.5,0,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
135,Jolteon,1,0,0,0,Lightning Pokémon,1,Electric,,0.8,24.5,2,Volt Absorb,,Quick Feet,525,65,65,60,110,95,130,1,1,1,0,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
136,Flareon,1,0,0,0,Flame Pokémon,1,Fire,,0.9,25,2,Flash Fire,,Guts,525,65,130,60,95,110,65,1,0,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
137,Porygon,1,0,0,0,Virtual Pokémon,1,Normal,,0.8,36.5,3,Trace,Download,Analytic,395,65,60,70,85,75,40,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
138,Omanyte,1,0,0,0,Spiral Pokémon,2,Rock,Water,0.4,7.5,3,Swift Swim,Shell Armor,Weak Armor,355,35,40,100,90,55,35,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1
139,Omastar,1,0,0,0,Spiral Pokémon,2,Rock,Water,1,35,3,Swift Swim,Shell Armor,Weak Armor,495,70,60,125,115,70,55,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1
140,Kabuto,1,0,0,0,Shellfish Pokémon,2,Rock,Water,0.5,11.5,3,Swift Swim,Battle Armor,Weak Armor,355,30,80,90,55,45,55,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1
141,Kabutops,1,0,0,0,Shellfish Pokémon,2,Rock,Water,1.3,40.5,3,Swift Swim,Battle Armor,Weak Armor,495,60,115,105,65,70,80,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1
142,Aerodactyl,1,0,0,0,Fossil Pokémon,2,Rock,Flying,1.8,59,3,Rock Head,Pressure,Unnerve,515,80,105,65,60,75,130,0.5,0.5,2,2,1,2,1,0.5,0,0.5,1,0.5,2,1,1,1,2,1
142,Mega Aerodactyl,1,0,0,0,Fossil Pokémon,2,Rock,Flying,2.1,79,1,Tough Claws,,,615,80,135,85,70,95,150,0.5,0.5,2,2,1,2,1,0.5,0,0.5,1,0.5,2,1,1,1,2,1
143,Snorlax,1,0,0,0,Sleeping Pokémon,1,Normal,,2.1,460,3,Immunity,Thick Fat,Gluttony,540,160,110,65,65,110,30,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
144,Articuno,1,0,1,0,Freeze Pokémon,2,Ice,Flying,1.7,55.4,2,Pressure,,Snow Cloak,580,90,85,100,95,125,85,1,2,1,2,0.5,1,1,1,0,1,1,0.5,4,1,1,1,2,1
145,Zapdos,1,0,1,0,Electric Pokémon,2,Electric,Flying,1.6,52.6,2,Pressure,,Static,580,90,90,85,125,90,100,1,1,1,1,0.5,2,0.5,1,0,0.5,1,0.5,2,1,1,1,0.5,1
146,Moltres,1,0,1,0,Flame Pokémon,2,Fire,Flying,2,60,2,Pressure,,Flame Body,580,90,100,90,125,85,90,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5
147,Dratini,1,1,0,0,Dragon Pokémon,1,Dragon,,1.8,3.3,2,Shed Skin,,Marvel Scale,300,41,64,45,50,50,50,1,0.5,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1,2,1,1,2
148,Dragonair,1,1,0,0,Dragon Pokémon,1,Dragon,,4,16.5,2,Shed Skin,,Marvel Scale,420,61,84,65,70,70,70,1,0.5,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1,2,1,1,2
149,Dragonite,1,1,0,0,Dragon Pokémon,2,Dragon,Flying,2.2,210,2,Inner Focus,,Multiscale,600,91,134,95,100,100,80,1,0.5,0.5,1,0.25,4,0.5,1,0,1,1,0.5,2,1,2,1,1,2
150,Mewtwo,1,0,1,0,Genetic Pokémon,1,Psychic,,2,122,2,Pressure,,Unnerve,680,106,110,90,154,90,130,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
150,Mega Mewtwo X,1,0,1,0,Genetic Pokémon,2,Psychic,Fighting,2.3,127,1,Steadfast,,,780,106,190,100,154,100,130,1,1,1,1,1,1,0.5,1,1,2,1,1,0.5,2,1,1,1,2
150,Mega Mewtwo Y,1,0,1,0,Genetic Pokémon,1,Psychic,,1.5,33,1,Insomnia,,,780,106,150,70,194,120,140,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
151,Mew,1,0,0,1,New Species Pokémon,1,Psychic,,0.4,4,1,Synchronize,,,600,100,100,100,100,100,100,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
152,Chikorita,2,0,0,0,Leaf Pokémon,1,Grass,,0.9,6.4,2,Overgrow,,Leaf Guard,318,45,49,65,49,65,45,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
153,Bayleef,2,0,0,0,Leaf Pokémon,1,Grass,,1.2,15.8,2,Overgrow,,Leaf Guard,405,60,62,80,63,80,60,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
154,Meganium,2,0,0,0,Herb Pokémon,1,Grass,,1.8,100.5,2,Overgrow,,Leaf Guard,525,80,82,100,83,100,80,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
155,Cyndaquil,2,0,0,0,Fire Mouse Pokémon,1,Fire,,0.5,7.9,2,Blaze,,Flash Fire,309,39,52,43,60,50,65,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
156,Quilava,2,0,0,0,Volcano Pokémon,1,Fire,,0.9,19,2,Blaze,,Flash Fire,405,58,64,58,80,65,80,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
157,Typhlosion,2,0,0,0,Volcano Pokémon,1,Fire,,1.7,79.5,2,Blaze,,Flash Fire,534,78,84,78,109,85,100,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
158,Totodile,2,0,0,0,Big Jaw Pokémon,1,Water,,0.6,9.5,2,Torrent,,Sheer Force,314,50,65,64,44,48,43,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
159,Croconaw,2,0,0,0,Big Jaw Pokémon,1,Water,,1.1,25,2,Torrent,,Sheer Force,405,65,80,80,59,63,58,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
160,Feraligatr,2,0,0,0,Big Jaw Pokémon,1,Water,,2.3,88.8,2,Torrent,,Sheer Force,530,85,105,100,79,83,78,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
161,Sentret,2,0,0,0,Scout Pokémon,1,Normal,,0.8,6,3,Run Away,Keen Eye,Frisk,215,35,46,34,35,45,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
162,Furret,2,0,0,0,Long Body Pokémon,1,Normal,,1.8,32.5,3,Run Away,Keen Eye,Frisk,415,85,76,64,45,55,90,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
163,Hoothoot,2,0,0,0,Owl Pokémon,2,Normal,Flying,0.7,21.2,3,Insomnia,Keen Eye,Tinted Lens,262,60,30,30,36,56,50,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
164,Noctowl,2,0,0,0,Owl Pokémon,2,Normal,Flying,1.6,40.8,3,Insomnia,Keen Eye,Tinted Lens,452,100,50,50,86,96,70,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
165,Ledyba,2,0,0,0,Five Star Pokémon,2,Bug,Flying,1,10.8,3,Swarm,Early Bird,Rattled,265,40,20,30,40,80,55,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
166,Ledian,2,0,0,0,Five Star Pokémon,2,Bug,Flying,1.4,35.6,3,Swarm,Early Bird,Iron Fist,390,55,35,50,55,110,85,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
167,Spinarak,2,0,0,0,String Spit Pokémon,2,Bug,Poison,0.5,8.5,3,Swarm,Insomnia,Sniper,250,40,60,40,40,40,30,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
168,Ariados,2,0,0,0,Long Leg Pokémon,2,Bug,Poison,1.1,33.5,3,Swarm,Insomnia,Sniper,400,70,90,70,60,70,40,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
169,Crobat,2,0,0,0,Bat Pokémon,2,Poison,Flying,1.8,75,2,Inner Focus,,Infiltrator,535,85,90,80,70,80,130,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5
170,Chinchou,2,0,0,0,Angler Pokémon,2,Water,Electric,0.5,12,3,Volt Absorb,Illuminate,Water Absorb,330,75,38,38,56,56,67,1,0.5,0.5,0,2,0.5,1,1,2,0.5,1,1,1,1,1,1,0.25,1
171,Lanturn,2,0,0,0,Light Pokémon,2,Water,Electric,1.2,22.5,3,Volt Absorb,Illuminate,Water Absorb,460,125,58,58,76,76,67,1,0.5,0.5,0,2,0.5,1,1,2,0.5,1,1,1,1,1,1,0.25,1
172,Pichu,2,0,0,0,Tiny Mouse Pokémon,1,Electric,,0.3,2,2,Static,,Lightning Rod,205,20,40,15,35,35,60,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
173,Cleffa,2,0,0,0,Star Shape Pokémon,1,Fairy,,0.3,3,3,Cute Charm,Magic Guard,Friend Guard,218,50,25,28,45,55,15,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
174,Igglybuff,2,0,0,0,Balloon Pokémon,2,Normal,Fairy,0.3,1,3,Cute Charm,Competitive,Friend Guard,210,90,30,15,40,20,15,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1
175,Togepi,2,0,0,0,Spike Ball Pokémon,1,Fairy,,0.3,1.5,3,Hustle,Serene Grace,Super Luck,245,35,20,65,40,65,20,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
176,Togetic,2,0,0,0,Happiness Pokémon,2,Fairy,Flying,0.6,3.2,3,Hustle,Serene Grace,Super Luck,405,55,40,85,80,105,40,1,1,1,2,0.5,2,0.25,2,0,1,1,0.25,2,1,0,0.5,2,1
177,Natu,2,0,0,0,Tiny Bird Pokémon,2,Psychic,Flying,0.2,2,3,Synchronize,Early Bird,Magic Bounce,320,40,50,45,70,45,70,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1
178,Xatu,2,0,0,0,Mystic Pokémon,2,Psychic,Flying,1.5,15,3,Synchronize,Early Bird,Magic Bounce,470,65,75,70,95,70,95,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1
179,Mareep,2,0,0,0,Wool Pokémon,1,Electric,,0.6,7.8,2,Static,,Plus,280,55,40,40,65,45,35,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
180,Flaaffy,2,0,0,0,Wool Pokémon,1,Electric,,0.8,13.3,2,Static,,Plus,365,70,55,55,80,60,45,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
181,Ampharos,2,0,0,0,Light Pokémon,1,Electric,,1.4,61.5,2,Static,,Plus,510,90,75,85,115,90,55,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
181,Mega Ampharos,2,0,0,0,Light Pokémon,2,Electric,Dragon,1.4,61.5,1,Mold Breaker,,,610,90,95,105,165,110,45,1,0.5,0.5,0.25,0.5,2,1,1,2,0.5,1,1,1,1,2,1,0.5,2
182,Bellossom,2,0,0,0,Flower Pokémon,1,Grass,,0.4,5.8,2,Chlorophyll,,Healer,490,75,80,95,90,100,50,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
183,Marill,2,0,0,0,Aqua Mouse Pokémon,2,Water,Fairy,0.4,8.5,3,Thick Fat,Huge Power,Sap Sipper,250,70,20,50,20,50,40,1,0.25,0.5,2,2,0.25,0.5,2,1,1,1,0.5,1,1,0,0.5,1,1
184,Azumarill,2,0,0,0,Aqua Rabbit Pokémon,2,Water,Fairy,0.8,28.5,3,Thick Fat,Huge Power,Sap Sipper,420,100,50,80,60,80,50,1,0.25,0.5,2,2,0.25,0.5,2,1,1,1,0.5,1,1,0,0.5,1,1
185,Sudowoodo,2,0,0,0,Imitation Pokémon,1,Rock,,1.2,38,3,Sturdy,Rock Head,Rattled,410,70,100,115,30,65,30,0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,1
186,Politoed,2,0,0,0,Frog Pokémon,1,Water,,1.1,33.9,3,Water Absorb,Damp,Drizzle,500,90,75,75,90,100,70,1,0.5,0,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
187,Hoppip,2,0,0,0,Cottonweed Pokémon,2,Grass,Flying,0.4,0.5,3,Chlorophyll,Leaf Guard,Infiltrator,250,35,35,40,35,55,50,1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,1
188,Skiploom,2,0,0,0,Cottonweed Pokémon,2,Grass,Flying,0.6,1,3,Chlorophyll,Leaf Guard,Infiltrator,340,55,45,50,45,65,80,1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,1
189,Jumpluff,2,0,0,0,Cottonweed Pokémon,2,Grass,Flying,0.8,3,3,Chlorophyll,Leaf Guard,Infiltrator,460,75,55,70,55,95,110,1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,1
